player_name,player_id,team,position,weighted_score,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,fmv_band
Nikola Jokić,203999,DEN,C,41.469,46075153.9,46239453.0,45823505.9,46239453.0,star
Shai Gilgeous-Alexander,1628983,OKC,PG,39.4637,45987805.0,45823505.9,45823505.9,46239453.0,star
Derrick White,1628401,BOS,PG,32.8062,45407558.79,45407558.79,45407558.79,45407558.79,star
Kevin Durant,201142,HOU,SF,31.1509,44937954.51,44991611.69,44991611.69,44991611.69,star
Tyrese Maxey,1630178,PHI,PG,33.5169,44475421.34,44575664.59,44159717.48,44575664.59,star
Cade Cunningham,1630595,DET,PG,32.4362,44069872.91,44159717.48,43743770.38,44159717.48,star
Scottie Barnes,1630567,TOR,SG,29.2322,43633960.34,43743770.38,43327823.28,43743770.38,star
Anthony Edwards,1630162,MIN,PG,32.0755,43384392.08,43327823.28,43223836.5,43743770.38,star
Jamal Murray,1627750,DEN,PG,29.5747,42635687.3,42495929.07,42079981.97,42911876.17,star
LeBron James,2544,LAL,SF,32.2106,42446015.42,42495929.07,42079981.97,42911876.17,star
Victor Wembanyama,1641705,SAS,PF,32.4726,42131975.35,42079981.97,41664034.86,42495929.07,star
Dyson Daniels,1630700,ATL,PG,28.1161,41848299.43,41664034.86,41248087.76,42079981.97,star
Luka Dončić,1629029,LAL,SG,30.939,41043025.84,40832140.66,40832140.66,41248087.76,star
James Harden,201935,CLE,PG,27.8377,41020980.64,40832140.66,40416193.55,41248087.76,star
Jalen Johnson,1630552,ATL,SF,30.4082,40514773.02,40416193.55,40000246.45,40832140.66,star
Donovan Mitchell,1628378,CLE,PG,28.1778,40104649.17,40000246.45,40000246.45,40416193.55,star
Cooper Flagg,1642843,DAL,SF,26.2033,39266931.7,39584299.34,38752405.14,39584299.34,star
Kawhi Leonard,202695,LAC,SF,29.1944,38813965.31,38752405.14,38336458.03,39168352.24,star
Desmond Bane,1630217,ORL,PG,25.4318,38689181.18,38752405.14,38336458.03,39168352.24,star
De'Aaron Fox,1628368,SAS,PG,25.8469,38275313.81,38336458.03,37504563.83,38752405.14,star
Alperen Sengun,1630578,HOU,C,25.9517,37923422.56,37920510.93,37504563.83,38336458.03,star
VJ Edgecombe,1642845,PHI,PG,24.1538,37851047.76,37920510.93,37088616.72,38336458.03,star
Matas Buzelis,1641824,CHI,SF,23.3851,37686332.71,37504563.83,37088616.72,37920510.93,star
Josh Giddey,1630581,CHI,PG,27.4254,35929478.8,36256722.52,35840775.41,36672669.62,star
Jaden McDaniels,1630183,MIN,SF,22.7748,35805905.18,36256722.52,35424828.31,36672669.62,star
Devin Booker,1626164,PHX,PG,24.4366,34655166.19,35424828.31,34592934.1,36256722.52,core
Deni Avdija,1630166,POR,SF,23.6711,34331287.38,35424828.31,34592934.1,35840775.41,core
Nickeil Alexander-Walker,1629638,ATL,PG,21.204,33150392.22,34592934.1,28455048.0,35424828.31,core
Trey Murphy III,1630530,NOP,SF,24.8456,33040203.57,34592934.1,28455048.0,35424828.31,core
Jalen Brunson,1628973,NYK,PG,22.3955,31112422.06,28455048.0,27943113.1,34592934.1,core
Miles Bridges,1628970,CHA,SF,22.087,30912026.21,28455048.0,27943113.1,34592934.1,core
Giannis Antetokounmpo,203507,MIL,SF,29.884,29712632.07,28199080.55,27431178.21,34176987.0,core
Toumani Camara,1641739,POR,SF,20.4253,29689317.7,28199080.55,27431178.21,34176987.0,core
Evan Mobley,1630596,CLE,C,23.7714,29128732.99,27943113.1,27431178.21,28455048.0,core
Josh Hart,1628404,NYK,PG,22.8175,28139877.41,27431178.21,26919243.31,28199080.55,core
Paolo Banchero,1631094,ORL,SF,22.985,27470842.5,27175210.76,26663275.86,27687145.66,core
Jabari Smith Jr.,1631095,HOU,SF,21.3368,26643417.05,26663275.86,25895373.52,27175210.76,core
Peyton Watson,1631212,DEN,PG,24.7764,26533169.74,26407308.41,25895373.52,27175210.76,core
Donte DiVincenzo,1628978,MIN,PG,20.3236,26360082.42,26151340.97,25639406.07,26919243.31,core
Brandon Miller,1641706,CHA,SF,24.5916,26143405.97,26151340.97,25383438.62,26663275.86,core
Austin Reaves,1630559,LAL,PG,24.0597,25984631.5,25895373.52,25383438.62,26663275.86,core
Amen Thompson,1641708,HOU,SG,20.3611,25873440.31,25895373.52,25127471.17,26407308.41,core
Rudy Gobert,203497,MIN,C,20.6229,25863206.94,25895373.52,25127471.17,26407308.41,core
CJ McCollum,203468,ATL,PG,20.9872,25512280.9,25383438.62,24871503.72,26151340.97,core
Bam Adebayo,1628389,MIA,PF,20.1866,25136174.07,25127471.17,24615536.28,25639406.07,core
Pascal Siakam,1627783,IND,SF,21.5904,25002047.12,24871503.72,24615536.28,25383438.62,core
Michael Porter Jr.,1629008,BKN,SF,22.1063,23956932.03,24103601.38,23591666.48,24359568.83,core
Karl-Anthony Towns,1626157,NYK,PF,19.8366,23930567.38,23847633.93,23591666.48,24359568.83,core
Stephen Curry,201939,GSW,PG,24.6813,23693541.53,23847633.93,23335699.03,24103601.38,core
Mikal Bridges,1628969,NYK,SG,17.7524,23595250.03,23591666.48,23079731.59,24103601.38,core
Brandon Ingram,1627742,TOR,SF,22.0184,23476993.07,23591666.48,23079731.59,23847633.93,core
OG Anunoby,1628384,NYK,SG,20.0144,23119918.48,23079731.59,22567796.69,23591666.48,core
Royce O'Neale,1626220,PHX,SF,17.6407,23091506.09,23079731.59,22567796.69,23591666.48,core
Andrew Wiggins,203952,MIA,SF,19.9041,22644074.99,22567796.69,22311829.24,23079731.59,core
Zion Williamson,1629627,NOP,SF,21.4605,22528591.01,22567796.69,22055861.79,22823764.14,core
P.J. Washington,1629023,DAL,SF,21.0454,22145322.42,22055861.79,21799894.34,22311829.24,core
Brandin Podziemski,1641764,GSW,PG,16.6922,21576082.81,21543926.9,21287959.45,21799894.34,starter
Immanuel Quickley,1630193,TOR,PG,19.1889,21449101.62,21341286.0,21149310.41,21799894.34,starter
Jalen Duren,1631105,DET,C,17.6887,21398036.12,21287959.45,21149310.41,21543926.9,starter
Onyeka Okongwu,1630168,ATL,PF,17.1632,21390794.37,21341286.0,21149310.41,21543926.9,starter
Stephon Castle,1642264,SAS,PG,17.4233,21215040.72,21218634.93,21031992.0,21341286.0,starter
Nikola Vučević,202696,BOS,C,18.2691,21096826.42,21149310.41,20957334.83,21341286.0,starter
Payton Pritchard,1630202,BOS,PG,15.1468,20728083.98,20765359.24,20381408.07,21149310.41,starter
Anthony Black,1641710,ORL,PG,16.9446,20421669.62,20573383.66,19997456.9,20957334.83,starter
Jrue Holiday,201950,POR,PG,18.7086,20256741.26,20381408.07,19805481.31,20765359.24,starter
Grayson Allen,1628960,PHX,PG,18.8877,20103640.73,20189432.48,19613505.72,20573383.66,starter
Kon Knueppel,1642851,CHA,SG,14.1903,20100451.8,20189432.48,19613505.72,20573383.66,starter
Keegan Murray,1631099,SAC,SF,21.4512,20090255.76,20189432.48,19613505.72,20573383.66,starter
Julius Randle,203944,MIN,PF,15.7811,19987111.55,19997456.9,19613505.72,20381408.07,starter
Jerami Grant,203924,POR,SF,18.0807,19941826.64,19997456.9,19421530.14,20381408.07,starter
Paul George,202331,PHI,SF,22.4225,19772034.9,19805481.31,19421530.14,20189432.48,starter
Kyshawn George,1642273,WAS,SF,19.0259,18921625.71,19037578.97,18461652.21,19421530.14,starter
Franz Wagner,1630532,ORL,SF,20.0829,18885534.3,18845603.38,18461652.21,19229554.55,starter
Darius Garland,1629636,LAC,PG,18.4952,18736875.87,18845603.38,18269676.62,19229554.55,starter
Jimmy Butler III,202710,GSW,SF,20.3554,18281621.77,18269676.62,17885725.45,18845603.38,starter
Jaylen Brown,1627759,BOS,SG,14.6537,18276395.77,18269676.62,17885725.45,18845603.38,starter
Anthony Davis,203076,DAL,PF,21.7567,17950863.83,18077701.03,17501774.28,18461652.21,starter
Ryan Rollins,1631157,MIL,PG,16.0905,17916468.21,17885725.45,17309798.69,18461652.21,starter
Christian Braun,1631128,DEN,PG,16.5696,17847575.63,17885725.45,17309798.69,18461652.21,starter
Chet Holmgren,1631096,OKC,PF,15.9935,17819563.2,17885725.45,17309798.69,18461652.21,starter
Tyler Herro,1629639,MIA,PG,19.6443,17565355.52,17693749.86,16925847.52,18077701.03,starter
Naji Marshall,1630230,DAL,SF,13.3926,17356683.39,17309798.69,16733871.93,17885725.45,starter
Cameron Johnson,1629661,DEN,SF,16.098,17303223.53,17309798.69,16733871.93,17784405.0,starter
Quentin Grimes,1629656,PHI,PG,13.5066,17052263.44,17117823.1,16541896.34,17624425.34,starter
Shaedon Sharpe,1631101,POR,PG,16.4896,16938352.59,16925847.52,16349920.76,17501774.28,starter
Norman Powell,1626181,MIA,PG,15.0251,16929164.43,16925847.52,16349920.76,17501774.28,starter
Jaren Jackson Jr.,1628991,UTA,PF,16.0608,16926754.07,16925847.52,16349920.76,17501774.28,starter
Ivica Zubac,1627826,IND,C,16.0929,16904970.17,16925847.52,16349920.76,17464445.69,starter
Max Christie,1631108,DAL,PG,12.1641,16893899.58,16984506.72,16349920.76,17464445.69,starter
LaMelo Ball,1630163,CHA,PG,16.179,16893702.27,16925847.52,16349920.76,17464445.69,starter
Jaime Jaquez Jr.,1631170,MIA,PG,13.0708,16892555.75,16925847.52,16349920.76,17464445.69,starter
Rui Hachimura,1629060,LAL,SF,13.2619,16879016.14,16984506.72,16349920.76,17464445.69,starter
Jayson Tatum,1628369,BOS,SG,18.3013,16876301.82,16925847.52,16504567.76,17304466.03,starter
Keyonte George,1641718,UTA,PG,14.2574,16834061.86,16824527.07,16504567.76,17304466.03,starter
DeMar DeRozan,201942,SAC,SG,11.4977,16833181.97,16824527.07,16504567.76,17304466.03,starter
Herbert Jones,1630529,NOP,SF,16.296,16831795.48,16925847.52,16157945.17,17464445.69,starter
Russell Westbrook,201566,SAC,PG,12.9598,16772149.73,16824527.07,16344588.1,17144486.38,starter
Jalen Suggs,1630591,ORL,PG,15.5073,16744062.63,16664547.41,16344588.1,17144486.38,starter
Devin Vassell,1630170,SAS,SG,12.5056,16599867.64,16504567.76,16184608.45,16984506.72,starter
Brook Lopez,201572,LAC,C,11.2255,16412136.85,16344588.1,16024628.79,16664547.41,starter
Collin Gillespie,1631221,PHX,PG,13.6992,16386561.43,16344588.1,16024628.79,16664547.41,starter
Donovan Clingan,1642270,POR,C,11.1177,16141141.98,16184608.45,15864649.14,16344588.1,starter
RJ Barrett,1629628,TOR,SG,12.6291,15911203.22,15864649.14,15704669.48,16184608.45,starter
Wendell Carter Jr.,1628976,ORL,PF,10.5876,15572686.27,15544689.83,15384710.17,15864649.14,starter
Marcus Smart,203935,LAL,PG,13.8344,15450461.81,15544689.83,15224730.52,15704669.48,starter
Lauri Markkanen,1628374,UTA,PF,14.0492,15418945.82,15384710.17,15224730.52,15704669.48,starter
Joel Embiid,203954,PHI,PF,16.3714,15082828.56,15064750.86,14744791.55,15384710.17,starter
Zach LaVine,203897,SAC,PG,13.6486,15005078.45,15064750.86,14744791.55,15384710.17,starter
Kevin Porter Jr.,1629645,MIL,SG,13.2931,14726713.85,14744791.55,14424832.24,15064750.86,starter
Davion Mitchell,1630558,MIA,PG,9.5062,14581308.34,14584811.9,14196861.23,14904771.21,starter
Ja Morant,1629630,MEM,PG,17.4838,14524958.18,14584811.9,14104872.93,14904771.21,starter
Tobias Harris,202699,DET,SF,10.4889,14487597.59,14424832.24,14104872.93,14904771.21,starter
Bilal Coulibaly,1641731,WAS,PG,11.2499,14381067.14,14424832.24,13944893.28,14744791.55,starter
Kelly Oubre Jr.,1626162,PHI,SG,11.231,14199063.62,14104872.93,13784913.62,14584811.9,starter
Jalen Williams,1631114,OKC,SG,12.3989,14097044.59,14104872.93,13784913.62,14424832.24,starter
Julian Reese,1642882,WAS,SF,19.3083,13946237.11,13944893.28,13624933.97,14264852.59,starter
Domantas Sabonis,1627734,SAC,PF,12.5893,13753989.55,13784913.62,13464954.31,14099540.28,starter
Saddiq Bey,1630180,NOP,SG,8.4465,13752416.42,13784913.62,13464954.31,14099540.28,starter
Nic Claxton,1629651,BKN,C,8.812,13732536.28,13715589.1,13459621.66,14099540.28,starter
Derik Queen,1642852,NOP,C,7.7492,13697260.77,13715589.1,13331637.93,13971556.55,starter
Draymond Green,203110,GSW,SF,8.9709,13662161.23,13624933.97,13304974.66,13971556.55,starter
AJ Green,1631260,MIL,PG,7.8361,13616417.72,13624933.97,13304974.66,13971556.55,starter
Jarrett Allen,1628386,CLE,C,9.052,13604424.57,13624933.97,13304974.66,13971556.55,starter
Alex Sarr,1642259,WAS,C,10.3208,13452769.19,13459621.66,13144995.0,13843572.83,starter
Cason Wallace,1641717,OKC,PG,7.6597,13355293.59,13331637.93,13075670.48,13715589.1,starter
Reed Sheppard,1642263,HOU,PG,7.5326,13300324.58,13331637.93,12947686.76,13715589.1,starter
Myles Turner,1626167,MIL,PF,7.6644,13299471.36,13331637.93,12947686.76,13715589.1,starter
Kel'el Ware,1642276,MIA,C,7.4153,13236311.39,13304974.66,12819703.03,13715589.1,starter
Bez Mbeng,1643016,UTA,PG,15.6788,13230194.83,13304974.66,12819703.03,13587605.38,starter
Andrew Nembhard,1629614,IND,SG,8.409,13154433.8,13203654.21,12819703.03,13587605.38,starter
Ayo Dosunmu,1630245,MIN,PG,8.3604,13128730.4,13203654.21,12819703.03,13587605.38,starter
Tari Eason,1631106,HOU,SF,9.1761,13067639.5,13075670.48,12691719.31,13460954.82,starter
Dillon Brooks,1628415,PHX,SG,7.7002,12579994.85,12563735.59,12179784.41,13075670.48,starter
Julian Champagnie,1630577,SAS,SF,6.5813,12552547.68,12563735.59,12179784.41,12947686.76,starter
Tre Jones,1630200,CHI,PG,7.719,12345603.33,12307768.14,11923816.97,12819703.03,starter
Keon Ellis,1631165,CLE,PG,6.8679,12218403.5,12307768.14,11795833.24,12691719.31,starter
Mark Williams,1631109,PHX,C,8.3964,12046532.03,12051800.69,11539865.79,12435751.86,starter
Naz Reid,1629675,MIN,PF,6.2148,11962772.01,11923816.97,11539865.79,12435751.86,rotation
Collin Sexton,1629012,CHI,PG,6.6948,11880763.77,11923816.97,11411882.07,12307768.14,rotation
Kennedy Chandler,1631113,UTA,PG,13.7721,11802107.11,11795833.24,11283898.34,12307768.14,rotation
Jalen Green,1630224,PHX,PG,8.3625,11796393.17,11795833.24,11283898.34,12179784.41,rotation
Ausar Thompson,1641709,DET,SG,6.5997,11793601.53,11795833.24,11283898.34,12307768.14,rotation
Deandre Ayton,1629028,LAL,C,6.5969,11601783.25,11539865.79,11155914.62,12113126.22,rotation
Kris Dunn,1627739,LAC,PG,5.5494,11545369.09,11539865.79,11027930.9,12051800.69,rotation
Leaky Black,1641778,WAS,SF,12.2219,11533991.87,11441211.67,11027930.9,12051800.69,rotation
Dejounte Murray,1627749,NOP,PG,10.1191,11520193.63,11553197.43,10993268.64,12113126.22,rotation
Ryan Kalkbrenner,1641750,CHA,C,5.6379,11505560.82,11539865.79,11027930.9,12001140.47,rotation
Collin Murray-Boyles,1642867,TOR,SF,6.2395,11499993.53,11553197.43,10899947.17,12001140.47,rotation
Aaron Nesmith,1630174,IND,SG,7.5909,11499884.21,11411882.07,11027930.9,12051800.69,rotation
Cedric Coward,1642907,MEM,PG,6.4335,11496775.27,11539865.79,10993268.64,12001140.47,rotation
Bennedict Mathurin,1631097,LAC,SG,6.1481,11485203.41,11539865.79,10899947.17,12001140.47,rotation
Jakob Poeltl,1627751,TOR,C,7.4654,11478076.32,11411882.07,10993268.64,12001140.47,rotation
Coby White,1629632,CHA,PG,6.9481,11469160.12,11411882.07,10993268.64,11923816.97,rotation
Bobby Portis,1626171,MIL,SF,5.7193,11464083.43,11441211.67,10899947.17,12001140.47,rotation
Ace Bailey,1642846,UTA,SF,4.9461,11422168.76,11441211.67,10899947.17,11889154.71,rotation
Malik Monk,1628370,SAC,PG,5.4846,11392025.93,11441211.67,10881282.88,11889154.71,rotation
Dylan Harper,1642844,SAS,PG,5.1241,11386210.67,11441211.67,10899947.17,11889154.71,rotation
Trae Young,1629027,WAS,PG,7.676,11310510.96,11329225.91,10881282.88,11777168.95,rotation
Derrick Jones Jr.,1627884,LAC,SF,5.7274,11305260.96,11329225.91,10771963.45,11777168.95,rotation
Kyle Kuzma,1628398,MIL,SF,4.964,11293833.08,11329225.91,10769297.12,11777168.95,rotation
Luguentz Dort,1629652,OKC,PG,4.7747,11220077.13,11217240.16,10769297.12,11777168.95,rotation
Caris LeVert,1627747,DET,PG,5.3871,11201402.17,11217240.16,10769297.12,11665183.19,rotation
Anfernee Simons,1629014,CHI,PG,5.6603,11195264.28,11217240.16,10769297.12,11665183.19,rotation
Jeremiah Fears,1642847,NOP,PG,4.1114,11025083.26,10993268.64,10545325.6,11553197.43,rotation
Moses Moody,1630541,GSW,PG,4.873,10912020.3,10881282.88,10433339.84,11441211.67,rotation
Jordan Goodwin,1630692,PHX,PG,5.1062,10869241.74,10770630.29,10433339.84,11329225.91,rotation
Moussa Diabaté,1631217,CHA,SF,4.778,10615276.71,10545325.6,10097382.57,11105254.4,rotation
Jake LaRavia,1631222,LAL,SF,4.2997,10584531.28,10545325.6,10097382.57,11105254.4,rotation
Aaron Gordon,203932,DEN,SF,5.8064,10532591.22,10456003.62,10097382.57,10993268.64,rotation
De'Anthony Melton,1629001,GSW,PG,6.1907,10472281.56,10433339.84,9985396.81,10993268.64,rotation
Oso Ighodaro,1642345,PHX,SF,3.7299,10351120.97,10321354.09,9873411.05,10769297.12,rotation
Alex Caruso,1627936,OKC,PG,4.5551,10220668.22,10209368.33,9761425.29,10574655.21,rotation
Zaccharie Risacher,1642258,ATL,SF,3.8307,10179913.41,10200036.18,9761425.29,10545325.6,rotation
Klay Thompson,202691,DAL,PG,3.8469,10142219.53,10097382.57,9649439.53,10545325.6,rotation
John Collins,1628381,LAC,PF,4.039,10118827.84,10097382.57,9649439.53,10495331.96,rotation
Duncan Robinson,1629130,DET,SF,3.4249,10072193.77,9998728.45,9649439.53,10433339.84,rotation
Kyle Filipowski,1642271,UTA,C,3.2405,9988492.42,9985396.81,9537453.78,10382679.62,rotation
Precious Achiuwa,1630173,SAC,SF,3.4644,9977693.79,9902740.66,9537453.78,10382679.62,rotation
Adem Bona,1641737,PHI,SF,3.3351,9952878.28,9985396.81,9537453.78,10382679.62,rotation
Kristaps Porziņģis,204001,GSW,PF,4.7185,9909702.44,9902740.66,9518789.48,10382679.62,rotation
Jordan Poole,1629673,NOP,PG,3.7669,9876746.63,9888075.86,9495459.12,10286691.83,rotation
Scotty Pippen Jr.,1630590,MEM,PG,5.6409,9863905.59,9873411.05,9425468.02,10286691.83,rotation
Ziaire Williams,1630533,BKN,SF,3.2477,9824534.6,9873411.05,9422801.69,10286691.83,rotation
Daniel Gafford,1629655,DAL,PF,3.1543,9785206.27,9806752.86,9326813.9,10286691.83,rotation
Isaiah Hartenstein,1628392,OKC,PF,3.2854,9766000.71,9806752.86,9326813.9,10286691.83,rotation
Egor Dëmin,1642856,BKN,PG,3.0562,9711468.98,9806752.86,9313482.26,10190704.03,rotation
Maxime Raynaud,1642875,SAC,C,2.385,9686570.81,9710765.07,9230826.1,10190704.03,rotation
John Konchar,1629723,UTA,PG,3.011,9665021.55,9710765.07,9230826.1,10190704.03,rotation
Zach Edey,1641744,MEM,C,4.4892,9536773.86,9614777.28,9038850.52,10094716.24,rotation
Grant Williams,1629684,CHA,SF,3.5691,9441799.27,9518789.48,8942862.72,9998728.45,rotation
Harrison Barnes,203084,SAS,SF,2.1,9407355.65,9422801.69,8892202.5,9926737.61,rotation
Danny Wolf,1642874,BKN,SF,2.4738,9400244.56,9422801.69,8846874.93,9998728.45,rotation
Isaiah Jackson,1630543,LAC,SF,3.0292,9316471.21,9326813.9,8750887.14,9902740.66,rotation
Jose Alvarado,1630631,NYK,PG,2.2563,9256769.47,9313482.26,8750887.14,9806752.86,rotation
Jusuf Nurkić,203994,UTA,C,2.7278,9184975.93,9201496.5,8654899.34,9806752.86,rotation
Bub Carrington,1642267,WAS,PG,1.8259,9136499.43,9134838.31,8572243.19,9710765.07,rotation
Patrick Williams,1630172,CHI,SF,2.0448,9080719.86,9038850.52,8558911.55,9614777.28,rotation
Jaden Ivey,1631093,CHI,PG,3.0456,9061042.36,9038850.52,8492253.36,9614777.28,rotation
Day'Ron Sharpe,1630549,BKN,C,2.0624,8995746.67,8942862.72,8462923.76,9518789.48,rotation
T.J. McConnell,204456,IND,PG,2.0779,8982292.38,8892202.5,8462923.76,9518789.48,rotation
